id,x_active,x_name,x_studio_company_id/id,x_studio_reason_code/id,x_studio_sequence
repair_sub_reason_hi_voltage,1,Hi voltage,,Jinasena_MasterData_Repair.repair_reason_external,10
repair_sub_reason_hi_voltage_02,1,Hi voltage - 02,,Jinasena_MasterData_Repair.repair_reason_internal,10
repair_sub_reason_hi_voltage_37,1,Hi Voltage,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,Jinasena_MasterData_Repair.repair_reason_internal_6,10
repair_sub_reason_hi_voltage_2,1,Hi Voltage 2,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,Jinasena_MasterData_Repair.repair_reason_external_7,10
