id,x_active,x_color,x_name,x_studio_company_id/id,x_studio_sequence
repair_reason_internal,1,0,Internal,,10
repair_reason_external,1,0,External,,10
repair_reason_internal_6,1,0,Internal,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10
repair_reason_external_7,1,0,External,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10
