id,active,name,sequence,fold,user_id/id
project_task_type_new_353,1,New,1,,
project_task_type_new_354,1,New,1,,
project_task_type_new_355,1,New,1,,
project_task_type_new_360,1,New,1,,
project_task_type_new_361,1,New,1,,
project_task_type_new_362,1,New,1,,
project_task_type_new_363,1,New,1,,
project_task_type_new_364,1,New,1,,
project_task_type_new_368,1,New,1,,
project_task_type_new_369,1,New,1,,
project_task_type_new_370,1,New,1,,
project_task_type_assigned,1,Assigned,1,,
project_task_type_new_375,1,New,1,,
project_task_type_new_376,1,New,1,,
project_task_type_new_377,1,New,1,,
project_task_type_new_378,1,New,1,,
project_task_type_new_379,1,New,1,,
project_task_type_new_380,1,New,1,,
project_task_type_new_381,1,New,1,,
project_task_type_new_382,1,New,1,,
project_task_type_new_383,1,New,1,,
project_task_type_new_388,1,New,1,,
project_task_type_new_389,1,New,1,,
project_task_type_new_390,1,New,1,,
project_task_type_new_391,1,New,1,,
project_task_type_new_392,1,New,1,,
project_task_type_new_393,1,New,1,,
project_task_type_new_394,1,New,1,,
project_task_type_new_395,1,New,1,,
project_task_type_new_396,1,New,1,,
project_task_type_new_397,1,New,1,,
project_task_type_new_398,1,New,1,,
project_task_type_new_399,1,New,1,,
project_task_type_new_400,1,New,1,,
project_task_type_new_401,1,New,1,,
project_task_type_new_402,1,New,1,,
project_task_type_new_403,1,New,1,,
project_task_type_new_404,1,New,1,,
project_task_type_testing,1,Testing,2,,
project_task_type_development,1,Development,2,,
project_task_type_rejected,1,Rejected,2,,
project_task_type_setting_up,1,Setting up,2,,
project_task_type_manufacturing,1,Manufacturing,2,,
project_task_type_today,1,Today,2,,
project_task_type_today_88,1,Today,2,,
project_task_type_today_102,1,Today,2,,
project_task_type_today_125,1,Today,2,,seed_master_data_and_settings.user_8
project_task_type_today_132,1,Today,2,,
project_task_type_today_139,1,Today,2,,
project_task_type_today_146,1,Today,2,,
project_task_type_today_189,1,Today,2,,
project_task_type_today_196,1,Today,2,,
project_task_type_today_203,1,Today,2,,
project_task_type_today_283,1,Today,2,,
project_task_type_today_290,1,Today,2,,
project_task_type_today_297,1,Today,2,,
project_task_type_in_progress_373,1,In Progress,2,,
project_task_type_costing,1,Costing,3,,
project_task_type_testing_26,1,Testing,3,,
project_task_type_testing_29,1,Testing,3,,
project_task_type_assembling,1,Assembling,3,,
project_task_type_this_week,1,This Week,3,,
project_task_type_this_week_89,1,This Week,3,,
project_task_type_this_week_103,1,This Week,3,,
project_task_type_this_week_126,1,This Week,3,,seed_master_data_and_settings.user_8
project_task_type_this_week_133,1,This Week,3,,
project_task_type_this_week_140,1,This Week,3,,
project_task_type_this_week_147,1,This Week,3,,
project_task_type_this_week_190,1,This Week,3,,
project_task_type_this_week_197,1,This Week,3,,
project_task_type_this_week_204,1,This Week,3,,
project_task_type_this_week_284,1,This Week,3,,
project_task_type_this_week_291,1,This Week,3,,
project_task_type_this_week_298,1,This Week,3,,
project_task_type_done,1,Done,3,,
project_task_type_completed_7,1,Completed,4,,
project_task_type_uat,1,UAT,4,,
project_task_type_delivered,1,Delivered,4,,
project_task_type_this_month,1,This Month,4,,
project_task_type_this_month_90,1,This Month,4,,
project_task_type_this_month_104,1,This Month,4,,
project_task_type_this_month_127,1,This Month,4,,seed_master_data_and_settings.user_8
project_task_type_this_month_134,1,This Month,4,,
project_task_type_this_month_141,1,This Month,4,,
project_task_type_this_month_148,1,This Month,4,,
project_task_type_this_month_191,1,This Month,4,,
project_task_type_this_month_198,1,This Month,4,,
project_task_type_this_month_205,1,This Month,4,,
project_task_type_this_month_285,1,This Month,4,,
project_task_type_this_month_292,1,This Month,4,,
project_task_type_this_month_299,1,This Month,4,,
project_task_type_accepted,1,Accepted,5,,
project_task_type_later,1,Later,5,,
project_task_type_later_91,1,Later,5,,
project_task_type_later_105,1,Later,5,,
project_task_type_later_128,1,Later,5,,seed_master_data_and_settings.user_8
project_task_type_later_135,1,Later,5,,
project_task_type_later_142,1,Later,5,,
project_task_type_later_149,1,Later,5,,
project_task_type_later_192,1,Later,5,,
project_task_type_later_199,1,Later,5,,
project_task_type_later_206,1,Later,5,,
project_task_type_later_286,1,Later,5,,
project_task_type_later_293,1,Later,5,,
project_task_type_later_300,1,Later,5,,
project_task_type_meeting_minutes,1,Meeting Minutes,5,,
project_task_type_to_do,1,To Do,5,,
project_task_type_to_do_428,1,To Do,5,,
project_task_type_to_do_432,1,To Do,5,,
project_task_type_to_do_436,1,To Do,5,,
project_task_type_live,1,LIVE,6,,
project_task_type_done_64,1,Done,6,1,
project_task_type_done_92,1,Done,6,1,
project_task_type_done_106,1,Done,6,1,
project_task_type_done_129,1,Done,6,1,seed_master_data_and_settings.user_8
project_task_type_done_136,1,Done,6,1,
project_task_type_done_143,1,Done,6,1,
project_task_type_done_150,1,Done,6,1,
project_task_type_done_193,1,Done,6,1,
project_task_type_done_200,1,Done,6,1,
project_task_type_done_207,1,Done,6,1,
project_task_type_done_287,1,Done,6,1,
project_task_type_done_294,1,Done,6,1,
project_task_type_done_301,1,Done,6,1,
project_task_type_canceled,1,Canceled,7,1,
project_task_type_canceled_93,1,Canceled,7,1,
project_task_type_canceled_107,1,Canceled,7,1,
project_task_type_canceled_130,1,Canceled,7,1,seed_master_data_and_settings.user_8
project_task_type_canceled_137,1,Canceled,7,1,
project_task_type_canceled_144,1,Canceled,7,1,
project_task_type_canceled_151,1,Canceled,7,1,
project_task_type_canceled_194,1,Canceled,7,1,
project_task_type_canceled_201,1,Canceled,7,1,
project_task_type_canceled_208,1,Canceled,7,1,
project_task_type_canceled_288,1,Canceled,7,1,
project_task_type_canceled_295,1,Canceled,7,1,
project_task_type_canceled_302,1,Canceled,7,1,
project_task_type_notes,1,Notes,10,,
project_task_type_in_progress_425,1,In Progress,10,,
project_task_type_in_progress_429,1,In Progress,10,,
project_task_type_in_progress_433,1,In Progress,10,,
project_task_type_in_progress_437,1,In Progress,10,,
project_task_type_done_426,1,Done,15,1,
project_task_type_done_430,1,Done,15,1,
project_task_type_done_434,1,Done,15,1,
project_task_type_done_438,1,Done,15,1,
project_task_type_canceled_427,1,Canceled,20,1,
project_task_type_canceled_431,1,Canceled,20,1,
project_task_type_canceled_435,1,Canceled,20,1,
project_task_type_canceled_439,1,Canceled,20,1,
project_task_type_todo,1,Todo,50,,
